obstime,bg_mean,bg_std,bg_total,src_error,src_mean,src_net,src_std,src_total,filename
2015-02-11T04:44:05.796066,,,,,,,,,N2784-7/Q1/N2784-7.Q1.I.150211_0444.C.003540.092204N2208.0100.nh.fits.fz
2015-02-13T06:37:57.771907,4.68770638626e-12,5.80461095856e-11,1.14380038774e-09,8.06402333797e-10,9.46107636679e-10,1.8169403404e-07,1.97750393838e-09,1.82598768106e-07,N2784-7/Q1/N2784-7.Q1.I.150213_0637.C.004085.092204N2208.0100.nh.fits.fz
2015-02-15T05:36:21.810388,-2.77788556047e-12,5.35262840995e-11,-6.77804090632e-10,7.43610895082e-10,9.90491244579e-10,1.91700948449e-07,2.6251749663e-09,1.91164815533e-07,N2784-7/Q1/N2784-7.Q1.I.150215_0536.C.004416.092204N2208.0100.nh.fits.fz
2015-02-15T06:56:57.457482,-2.27971634625e-12,6.67164934409e-11,-5.56250767669e-10,9.26855148187e-10,9.83952919142e-10,1.90342902329e-07,2.37499309108e-09,1.89902920056e-07,N2784-7/Q1/N2784-7.Q1.I.150215_0656.C.004440.092204N2208.0100.nh.fits.fz
2015-03-01T00:58:42.414012,3.53438840694e-11,1.05910835657e-10,8.62390781009e-09,1.47136036688e-09,9.28342291928e-10,1.72348691763e-07,1.25360077874e-09,1.79170058345e-07,N2784-7/Q1/N2784-7.Q1.I.150301_0058.C.009052.092205N2208.0060.nh.fits.fz
2015-03-01T01:36:53.684011,3.27398178013e-11,1.00078292875e-10,7.98851562678e-09,1.39033207169e-09,9.89918591543e-10,1.8473549801e-07,1.92556992573e-09,1.91054283505e-07,N2784-7/Q1/N2784-7.Q1.I.150301_0136.C.009067.092205N2208.0060.nh.fits.fz
2015-03-01T02:14:49.136010,6.97256141713e-12,9.33772156819e-11,1.70130498578e-09,1.29723776165e-09,9.7957741918e-10,1.87712728916e-07,2.3577413355e-09,1.89058440014e-07,N2784-7/Q1/N2784-7.Q1.I.150301_0214.C.009082.092205N2208.0060.nh.fits.fz
2015-03-01T02:56:54.717996,1.84653004692e-11,9.58752660596e-11,4.5055332798e-09,1.33194177909e-09,1.01275887676e-09,1.9189866407e-07,2.6478976789e-09,1.95462462216e-07,N2784-7/Q1/N2784-7.Q1.I.150301_0256.C.009098.092205N2208.0060.nh.fits.fz
2015-03-01T03:34:22.432012,1.53739312947e-11,9.24769913424e-11,3.75123931917e-09,1.28473143235e-09,9.98225946347e-10,1.89690439356e-07,2.74794431654e-09,1.92657608977e-07,N2784-7/Q1/N2784-7.Q1.I.150301_0334.C.009113.092205N2208.0060.nh.fits.fz
2015-03-01T04:12:29.363020,-3.45412544053e-12,9.76912162276e-11,-8.42806602286e-10,1.35716970995e-09,9.78989778133e-10,1.89611668588e-07,3.03737301977e-09,1.88945023183e-07,N2784-7/Q1/N2784-7.Q1.I.150301_0412.C.009128.092205N2208.0060.nh.fits.fz
