obstime,bg_mean,bg_std,bg_total,src_error,src_mean,src_net,src_std,src_total,filename
2015-03-03T04:32:29.444010,1.87524926143e-10,1.35591482486e-10,4.57560815903e-08,1.88369697618e-09,4.04926403519e-09,7.45315617223e-07,8.07916933354e-09,7.81507935699e-07,N2784-7/Q1/N2784-7.Q1.I.150303_0432.C.009575.092205N2208.0060.nh.fits.fz
2015-03-03T05:11:16.525012,1.46241962984e-10,1.29732030674e-10,3.56830405224e-08,1.80229497992e-09,4.19359569293e-09,7.81139306127e-07,1.15796154887e-08,8.09363996268e-07,N2784-7/Q1/N2784-7.Q1.I.150303_0511.C.009590.092205N2208.0060.nh.fits.fz
2015-03-03T05:48:23.477006,1.14247208916e-10,1.24854918071e-10,2.78763181427e-08,1.73453995611e-09,4.07757516641e-09,7.6492227663e-07,9.81707248826e-09,7.86972009337e-07,N2784-7/Q1/N2784-7.Q1.I.150303_0548.C.009605.092205N2208.0060.nh.fits.fz
2015-03-03T06:25:44.325988,1.24114191147e-10,1.38050390563e-10,3.02838643051e-08,1.91785720638e-09,4.03865518805e-09,7.5550639167e-07,9.38613009538e-09,7.79460435751e-07,N2784-7/Q1/N2784-7.Q1.I.150303_0625.C.009620.092205N2208.0060.nh.fits.fz
2015-03-03T22:43:40.381071,6.24729868531e-13,1.36206462775e-11,1.52434093126e-10,1.89224066971e-10,-9.64742066616e-13,-3.06768083158e-10,1.45251874764e-11,-1.86195212026e-10,N2784-7/Q1/N2784-7.Q1.I.150303_2243.S.009986.092205N2208.0060.nh.fits.fz
2015-03-03T23:20:45.136077,8.28445005738e-13,1.48780189557e-11,2.02140582051e-10,2.06692038485e-10,1.12384808491e-12,5.70127833832e-11,1.45408017224e-11,2.16902676375e-10,N2784-7/Q1/N2784-7.Q1.I.150303_2320.S.010001.092205N2208.0060.nh.fits.fz
2015-03-03T23:57:37.039075,-1.62085525123e-12,1.53264657909e-11,-3.95488669591e-10,2.12922068865e-10,-1.76929366882e-13,2.78677692034e-10,1.42721234137e-11,-3.41473689602e-11,N2784-7/Q1/N2784-7.Q1.I.150303_2357.S.010016.092205N2208.0060.nh.fits.fz
2015-03-04T21:50:53.553189,1.55818473358e-13,9.65130059205e-12,3.80197089089e-11,1.34080149761e-10,1.19137081385e-13,-7.07950885415e-12,1.01600776403e-11,2.29934560975e-11,N2784-7/Q1/N2784-7.Q1.I.150304_2150.S.010241.092204N2208.0060.nh.fits.fz
2015-03-04T22:28:56.584258,7.75384639308e-13,1.08172741597e-11,1.89193855027e-10,1.50278373079e-10,1.22312750206e-12,8.64143756552e-11,1.05517573845e-11,2.36063613102e-10,N2784-7/Q1/N2784-7.Q1.I.150304_2228.S.010256.092205N2208.0060.nh.fits.fz
2015-03-04T23:08:36.779204,3.01865628848e-13,1.12076138301e-11,7.36552138725e-11,1.5570114642e-10,6.41970417797e-13,6.56402293631e-11,1.00925569985e-11,1.23900292803e-10,N2784-7/Q1/N2784-7.Q1.I.150304_2308.S.010271.092205N2208.0060.nh.fits.fz
2015-03-04T23:46:53.541187,-4.29880062753e-14,1.09166009565e-11,-1.04890731517e-11,1.51658269276e-10,-4.51289152532e-13,-7.88021245479e-11,1.16327615943e-11,-8.70988073332e-11,N2784-7/Q1/N2784-7.Q1.I.150304_2346.S.010286.092205N2208.0060.nh.fits.fz
2015-03-05T00:58:05.370017,1.68992389527e-10,1.60114921322e-10,4.12341414346e-08,2.22438756303e-09,4.08211597858e-09,7.55232804295e-07,9.10488662242e-09,7.87848364325e-07,N2784-7/Q1/N2784-7.Q1.I.150305_0058.C.002038.092204N2208.0060.nh.fits.fz
2015-03-05T01:39:22.288014,1.93335597531e-10,1.48600909355e-10,4.71738843544e-08,2.06442973827e-09,4.13163192547e-09,7.60091154461e-07,9.63318669278e-09,7.97404936748e-07,N2784-7/Q1/N2784-7.Q1.I.150305_0139.C.002053.092205N2208.0060.nh.fits.fz
2015-03-05T02:19:56.254013,1.89448734478e-10,1.48040912862e-10,4.62254909905e-08,2.05664996145e-09,4.2395855715e-09,7.81676419592e-07,1.17774474617e-08,8.1824003928e-07,N2784-7/Q1/N2784-7.Q1.I.150305_0219.C.002068.092205N2208.0060.nh.fits.fz
2015-03-05T03:02:12.821012,6.79441572449e-11,1.53809326386e-10,1.6578374229e-08,2.13678741368e-09,4.00935062927e-09,7.60691477808e-07,1.09251887537e-08,7.73804686105e-07,N2784-7/Q1/N2784-7.Q1.I.150305_0302.C.002083.092205N2208.0060.nh.fits.fz
2015-03-05T03:42:52.335012,1.24010010594e-10,1.27141200346e-10,3.02584410861e-08,1.76630199356e-09,4.07031919281e-09,7.61637693358e-07,1.00160857386e-08,7.8557161487e-07,N2784-7/Q1/N2784-7.Q1.I.150305_0342.C.002098.092205N2208.0060.nh.fits.fz
2015-03-05T04:25:45.317014,1.18110424219e-10,1.47954218321e-10,2.88189436759e-08,2.05544559151e-09,4.09642852972e-09,7.6781543612e-07,1.133789862e-08,7.90610727108e-07,N2784-7/Q1/N2784-7.Q1.I.150305_0425.C.002113.092205N2208.0060.nh.fits.fz
2015-03-05T05:09:59.370011,1.119738538e-10,1.63295280076e-10,2.73216205215e-08,2.26857044261e-09,4.05671984893e-09,7.61335968491e-07,1.02221759946e-08,7.82946926847e-07,N2784-7/Q1/N2784-7.Q1.I.150305_0509.C.002128.092205N2208.0060.nh.fits.fz
2015-03-05T05:52:39.225003,1.47650183746e-10,1.42892198074e-10,3.60266447785e-08,1.98512184468e-09,4.04601818715e-09,7.52385062697e-07,8.9763956268e-09,7.80881521223e-07,N2784-7/Q1/N2784-7.Q1.I.150305_0552.C.002143.092204N2208.0060.nh.fits.fz
2015-03-05T06:30:36.930145,1.08533584897e-10,1.86442597472e-10,2.64821942153e-08,2.59014321102e-09,4.0102468013e-09,7.53030690248e-07,7.66717001e-09,7.73977660629e-07,N2784-7/Q1/N2784-7.Q1.I.150305_0630.C.002158.092205N2208.0060.nh.fits.fz
2015-03-05T19:26:14.229255,1.20175581726e-12,1.44924610507e-11,2.93228413772e-10,2.01335698113e-10,-7.04989343812e-13,-3.68001795703e-10,1.39156039122e-11,-1.36062938694e-10,N2784-7/Q1/N2784-7.Q1.I.150305_1926.S.010338.092205N2208.0060.nh.fits.fz
2015-03-05T20:03:08.988004,-7.90094769124e-13,1.36081510643e-11,-1.92783122799e-10,1.89050469723e-10,-2.13809807532e-12,-2.60164667587e-10,1.3176006293e-11,-4.12652939596e-10,N2784-7/Q1/N2784-7.Q1.I.150305_2003.S.010353.092205N2208.0060.nh.fits.fz
2015-03-05T20:40:00.725992,7.05237192429e-13,1.18072131933e-11,1.72077879723e-10,1.64031038752e-10,-6.07194633115e-13,-2.53299325959e-10,1.26310134227e-11,-1.17188564408e-10,N2784-7/Q1/N2784-7.Q1.I.150305_2040.S.010368.092205N2208.0060.nh.fits.fz
2015-03-05T21:17:26.077991,2.34605249724e-13,1.1406249209e-11,5.72436820168e-11,1.58460675137e-10,4.13613811441e-14,-3.72960655415e-11,1.13201826385e-11,7.98274640834e-12,N2784-7/Q1/N2784-7.Q1.I.150305_2117.S.010383.092205N2208.0060.nh.fits.fz
2015-03-05T21:54:19.464000,-1.90969115521e-12,1.09417492428e-11,-4.65964655749e-10,1.52007628706e-10,-3.22040354453e-13,3.06416614304e-10,1.06456753135e-11,-6.21537890599e-11,N2784-7/Q1/N2784-7.Q1.I.150305_2154.S.010398.092205N2208.0060.nh.fits.fz
2015-03-05T22:37:00.747040,-9.88219719272e-14,1.1354529296e-11,-2.41125609063e-11,1.57742152673e-10,1.43824145302e-12,2.96653229759e-10,1.21821094878e-11,2.77580597396e-10,N2784-7/Q1/N2784-7.Q1.I.150305_2237.S.010414.092205N2208.0060.nh.fits.fz
2015-03-05T23:14:27.749125,1.6152375661e-12,1.15322881453e-11,3.94117960489e-10,1.6021166338e-10,8.60835789587e-14,-2.95126728611e-10,1.18649439232e-11,1.66141302105e-11,N2784-7/Q1/N2784-7.Q1.I.150305_2314.S.010429.092204N2208.0060.nh.fits.fz
2015-03-06T19:24:09.577941,-5.1109585314e-12,1.28418447751e-11,-1.2470738886e-09,1.78404610529e-10,,,,,N2784-7/Q1/N2784-7.Q1.I.150306_1924.S.010491.092205N2208.0060.nh.fits.fz
2015-03-06T20:01:55.582951,-3.09664024024e-13,8.5540290129e-12,-7.55580251144e-11,1.18836371299e-10,-9.48750084571e-14,4.14542809801e-11,8.769554527e-12,-1.83108771201e-11,N2784-7/Q1/N2784-7.Q1.I.150306_2001.S.010506.092205N2208.0060.nh.fits.fz
2015-03-06T20:38:56.712943,-1.494795932e-12,8.71376061584e-12,-3.6473021825e-10,1.21055429569e-10,1.50031097029e-13,3.17451620546e-10,8.52041440874e-12,2.89560025263e-11,N2784-7/Q1/N2784-7.Q1.I.150306_2038.S.010521.092205N2208.0060.nh.fits.fz
2015-03-06T21:16:47.879957,1.96900384452e-13,9.17637753978e-12,4.80436940231e-11,1.27482302492e-10,3.03781983292e-13,2.06281450255e-11,9.49734128147e-12,5.86299203631e-11,N2784-7/Q1/N2784-7.Q1.I.150306_2116.S.010536.092205N2208.0060.nh.fits.fz
2015-03-06T21:53:19.899937,-1.45842065096e-13,8.32539072404e-12,-3.55854651302e-11,1.15660023225e-10,1.27652608536e-12,2.74517047982e-10,8.08617495879e-12,2.46369535883e-10,N2784-7/Q1/N2784-7.Q1.I.150306_2153.S.010551.092205N2208.0060.nh.fits.fz
2015-03-06T22:31:24.632973,-8.38355806217e-13,8.73924543843e-12,-2.04558814332e-10,1.21409479692e-10,-4.56123528704e-13,7.37708297227e-11,8.75865699412e-12,-8.8031838763e-11,N2784-7/Q1/N2784-7.Q1.I.150306_2231.S.010566.092205N2208.0060.nh.fits.fz
2015-03-06T23:10:46.428955,-4.44925888667e-13,9.56711532912e-12,-1.08561916401e-10,1.32910613071e-10,-7.6781013188e-13,-6.23166518388e-11,1.02690850615e-11,-1.48187351279e-10,N2784-7/Q1/N2784-7.Q1.I.150306_2310.S.010581.092205N2208.0060.nh.fits.fz
2015-03-06T23:48:33.200970,6.56601780325e-13,9.91929368505e-12,1.60210830713e-10,1.37803227163e-10,2.17541588042e-13,-8.47386188996e-11,9.7283492026e-12,4.19855261669e-11,N2784-7/Q1/N2784-7.Q1.I.150306_2348.S.010596.092205N2208.0060.nh.fits.fz
2015-03-07T00:56:24.432000,1.21508914042e-10,1.37970010416e-10,2.96481754702e-08,1.91674054406e-09,4.04696542944e-09,7.5761312246e-07,9.64889768085e-09,7.81064329658e-07,N2784-7/Q1/N2784-7.Q1.I.150307_0056.C.003035.092205N2208.0060.nh.fits.fz
2015-03-07T01:36:16.324996,9.88635007193e-11,1.29358204704e-10,2.41226949527e-08,1.79710157866e-09,4.09268618995e-09,7.70807787376e-07,1.03233830373e-08,7.89888417785e-07,N2784-7/Q1/N2784-7.Q1.I.150307_0136.C.003050.092205N2208.0060.nh.fits.fz
2015-03-07T02:17:15.282011,8.17204984238e-11,1.32215641213e-10,1.99398009215e-08,1.83679838006e-09,4.02929956067e-09,7.61882745337e-07,1.00796055946e-08,7.77654804551e-07,N2784-7/Q1/N2784-7.Q1.I.150307_0217.C.003066.092205N2208.0060.nh.fits.fz
2015-03-07T02:58:12.757013,1.01656863483e-10,1.26690283264e-10,2.48042741902e-08,1.76003767116e-09,4.13354195317e-09,7.78153832925e-07,1.19786376374e-08,7.97773623162e-07,N2784-7/Q1/N2784-7.Q1.I.150307_0258.C.003081.092205N2208.0060.nh.fits.fz
2015-03-07T03:38:11.735010,1.17200540939e-10,1.15527067079e-10,2.85969328218e-08,1.60495328139e-09,4.10080192026e-09,7.68835093368e-07,1.0344976431e-08,7.91454795035e-07,N2784-7/Q1/N2784-7.Q1.I.150307_0338.C.003096.092205N2208.0060.nh.fits.fz
2015-03-07T04:18:06.045019,9.00478233645e-11,1.13756157272e-10,2.19716689287e-08,1.58035096121e-09,4.15416989696e-09,7.8437551565e-07,1.23716157319e-08,8.01754765689e-07,N2784-7/Q1/N2784-7.Q1.I.150307_0418.C.003111.092205N2208.0060.nh.fits.fz
2015-03-07T04:57:14.876985,1.04361019826e-10,1.10322348479e-10,2.54640895037e-08,1.53264700931e-09,4.10898559622e-09,7.72892576606e-07,1.19472369775e-08,7.93034246271e-07,N2784-7/Q1/N2784-7.Q1.I.150307_0457.C.003126.092205N2208.0060.nh.fits.fz
2015-03-07T05:39:41.605013,1.11197849539e-10,1.18710860586e-10,2.71322750933e-08,1.64918390055e-09,4.09845579696e-09,7.69540804413e-07,1.09059694609e-08,7.9100198036e-07,N2784-7/Q1/N2784-7.Q1.I.150307_0539.C.003141.092204N2208.0060.nh.fits.fz
2015-03-07T06:18:28.467021,9.07592820343e-11,1.18067555732e-10,2.21452651772e-08,1.64024682725e-09,4.09879863383e-09,7.73551619204e-07,1.12924274376e-08,7.910681461e-07,N2784-7/Q1/N2784-7.Q1.I.150307_0618.C.003156.092205N2208.0060.nh.fits.fz
2015-03-07T19:06:36.252942,-1.68972984476e-12,8.0155855911e-12,-4.12294087759e-10,1.11356070198e-10,9.74545287134e-14,3.44926587292e-10,7.55037872502e-12,1.88087236758e-11,N2784-7/Q1/N2784-7.Q1.I.150307_1906.S.010749.092205N2208.0060.nh.fits.fz
2015-03-07T19:44:23.754165,-4.80439743978e-13,7.30577057184e-12,-1.17227297314e-10,1.01495006843e-10,1.331902145e-12,3.49781981157e-10,7.39183367293e-12,2.57057125586e-10,N2784-7/Q1/N2784-7.Q1.I.150307_1944.S.010764.092205N2208.0060.nh.fits.fz
2015-03-07T20:22:50.787188,-2.22879047575e-13,7.95010758614e-12,-5.43824880961e-11,1.10446422841e-10,-2.21677399202e-13,2.3191865095e-13,8.31716640004e-12,-4.27837383576e-11,N2784-7/Q1/N2784-7.Q1.I.150307_2022.S.010779.092205N2208.0060.nh.fits.fz
2015-03-07T21:00:17.733196,8.08997020849e-13,8.6591836132e-12,1.97395266799e-10,1.20297216633e-10,4.01213052581e-13,-7.87023016202e-11,8.22104537224e-12,7.74341216148e-11,N2784-7/Q1/N2784-7.Q1.I.150307_2100.S.010794.092205N2208.0060.nh.fits.fz
2015-03-07T21:42:36.167190,8.5628952659e-14,7.57145995206e-12,2.08934640422e-11,1.05186082067e-10,-2.62378823095e-13,-6.71655023265e-11,7.34566487498e-12,-5.06391144295e-11,N2784-7/Q1/N2784-7.Q1.I.150307_2142.S.010809.092205N2208.0060.nh.fits.fz
2015-03-07T22:25:25.524188,7.58519698332e-14,8.20961354453e-12,1.85078809917e-11,1.14051594557e-10,1.93760738248e-13,2.27563922567e-11,8.75603322487e-12,3.73958225497e-11,N2784-7/Q1/N2784-7.Q1.I.150307_2225.S.010824.092205N2208.0060.nh.fits.fz
2015-03-07T23:05:34.774188,-9.34624881828e-13,8.97833803831e-12,-2.28048468998e-10,1.24731058815e-10,2.21229190024e-13,2.23079832384e-10,8.46023511664e-12,4.26972346368e-11,N2784-7/Q1/N2784-7.Q1.I.150307_2305.S.010839.092205N2208.0060.nh.fits.fz
2015-03-07T23:42:43.923209,3.5351704745e-13,9.59334261336e-12,8.62581603367e-11,1.3327497439e-10,-1.19724477728e-12,-2.99297031603e-10,8.98430201762e-12,-2.31068247869e-10,N2784-7/Q1/N2784-7.Q1.I.150307_2342.S.010854.092205N2208.0060.nh.fits.fz
2015-03-08T19:11:03.863058,-4.13213387118e-12,6.91383538962e-12,-1.00824071314e-09,9.60500706748e-11,,,,,N2784-7/Q1/N2784-7.Q1.I.150308_1911.S.010991.092205N2208.0060.nh.fits.fz
2015-03-08T19:48:05.048054,2.65917557342e-14,6.74960434766e-12,6.4883883856e-12,9.37684999092e-11,-6.69662188115e-13,-1.3437700952e-10,7.22040526327e-12,-1.29244795422e-10,N2784-7/Q1/N2784-7.Q1.I.150308_1948.S.011006.092205N2208.0060.nh.fits.fz
2015-03-08T20:25:38.035058,-4.11361212021e-13,7.02276995238e-12,-1.00372134215e-10,9.75634364964e-11,-1.06130158644e-13,5.89095924819e-11,7.39152662688e-12,-2.04831204081e-11,N2784-7/Q1/N2784-7.Q1.I.150308_2025.S.011021.092205N2208.0060.nh.fits.fz
2015-03-08T21:09:22.318053,2.96970971035e-14,7.0360557658e-12,7.24609174746e-12,9.77480110742e-11,-5.23073717586e-13,-1.06684765189e-10,6.74638730297e-12,-1.00953224946e-10,N2784-7/Q1/N2784-7.Q1.I.150308_2109.S.011036.092205N2208.0060.nh.fits.fz
2015-03-08T21:56:07.196056,-6.77047122793e-13,6.96094354033e-12,-1.65199492974e-10,9.67045193923e-11,7.24628310914e-13,2.70523381474e-10,6.87697728624e-12,1.39853267855e-10,N2784-7/Q1/N2784-7.Q1.I.150308_2156.S.011052.092205N2208.0060.nh.fits.fz
2015-03-08T22:34:22.091186,-4.29471826754e-14,7.27592942493e-12,-1.04791123695e-11,1.01080442627e-10,-5.62070247116e-13,-1.00190751529e-10,6.59316741827e-12,-1.08479558669e-10,N2784-7/Q1/N2784-7.Q1.I.150308_2234.S.011067.092205N2208.0060.nh.fits.fz
2015-03-08T23:18:59.267062,9.36615477017e-13,7.94978752966e-12,2.28534177693e-10,1.1044197501e-10,3.73452327005e-13,-1.08690494105e-10,7.47163442227e-12,7.20762963202e-11,N2784-7/Q1/N2784-7.Q1.I.150308_2318.S.011083.092205N2208.0060.nh.fits.fz
2015-03-08T23:56:51.917044,,,,,,,,,N2784-7/Q1/N2784-7.Q1.I.150308_2356.S.011098.092204N2208.0060.nh.fits.fz
2015-03-09T00:55:39.132997,8.23242654602e-11,1.08025581536e-10,2.00871212996e-08,1.5007393106e-09,3.95788424257e-09,7.47983051497e-07,8.49271053482e-09,7.6387163972e-07,N2784-7/Q1/N2784-7.Q1.I.150309_0055.C.003544.092205N2208.0060.nh.fits.fz
2015-03-09T01:40:12.080011,8.92897492055e-11,1.124195112e-10,2.17866986674e-08,1.56178170396e-09,4.0489425146e-09,7.6421298445e-07,9.80455983068e-09,7.81445919529e-07,N2784-7/Q1/N2784-7.Q1.I.150309_0140.C.003559.092205N2208.0060.nh.fits.fz
2015-03-09T02:17:09.916021,1.02346998931e-10,1.10413039822e-10,2.49726674895e-08,1.53390689039e-09,4.07366407273e-09,7.6646421121e-07,9.63307567048e-09,7.86217185578e-07,N2784-7/Q1/N2784-7.Q1.I.150309_0217.C.003574.092205N2208.0060.nh.fits.fz
2015-03-09T02:54:26.149012,1.09719705543e-10,1.10721570801e-10,2.67716089297e-08,1.53819323945e-09,4.0675947055e-09,7.63869877574e-07,1.05973656517e-08,7.85045756402e-07,N2784-7/Q1/N2784-7.Q1.I.150309_0254.C.003589.092205N2208.0060.nh.fits.fz
2015-03-09T03:32:00.125022,8.97799196098e-11,1.07165998298e-10,2.19063007734e-08,1.48879764073e-09,4.02763022933e-09,7.60005093525e-07,9.59381196708e-09,7.77332616053e-07,N2784-7/Q1/N2784-7.Q1.I.150309_0332.C.003604.092205N2208.0060.nh.fits.fz
2015-03-09T04:12:25.797012,9.36813890351e-11,1.04972287807e-10,2.28582592854e-08,1.45832157461e-09,4.0043035554e-09,7.54750033138e-07,8.68757599193e-09,7.72830560436e-07,N2784-7/Q1/N2784-7.Q1.I.150309_0412.C.003619.092205N2208.0060.nh.fits.fz
2015-03-09T04:51:15.076012,9.53115503188e-11,1.1097445185e-10,2.32560175562e-08,1.54170631816e-09,4.0091974185e-09,7.55379971906e-07,9.58048218536e-09,7.73775127527e-07,N2784-7/Q1/N2784-7.Q1.I.150309_0451.C.003634.092205N2208.0060.nh.fits.fz
2015-03-09T05:30:05.068003,8.28689686316e-11,1.02178890349e-10,2.02200283184e-08,1.41951450594e-09,4.04026812006e-09,7.63778075452e-07,1.00939594461e-08,7.79771767156e-07,N2784-7/Q1/N2784-7.Q1.I.150309_0530.C.003649.092205N2208.0060.nh.fits.fz
2015-03-09T06:08:40.286020,1.14946288599e-10,1.16666454275e-10,2.80468945846e-08,1.62078217514e-09,4.03043864949e-09,7.55690052756e-07,8.72298500099e-09,7.77874674895e-07,N2784-7/Q1/N2784-7.Q1.I.150309_0608.C.003664.092205N2208.0060.nh.fits.fz
2015-03-09T19:00:54.503090,-1.04421733847e-12,5.77926508732e-12,-2.54789023213e-10,8.0288116433e-11,,,,,N2784-7/Q1/N2784-7.Q1.I.150309_1900.S.011225.092205N2208.0060.nh.fits.fz
2015-03-09T19:38:14.912085,4.88846376573e-13,7.34569870209e-12,1.19278517619e-10,1.02049702022e-10,-1.17870416119e-12,-3.21837251294e-10,5.82131174862e-12,-2.27489901916e-10,N2784-7/Q1/N2784-7.Q1.I.150309_1938.S.011240.092205N2208.0060.nh.fits.fz
2015-03-09T20:17:40.276069,3.25454236044e-13,7.05157893882e-12,7.94108320767e-11,9.79636649578e-11,-3.68637466473e-13,-1.3395970444e-10,7.64449614721e-12,-7.11470327097e-11,N2784-7/Q1/N2784-7.Q1.I.150309_2017.S.011255.092205N2208.0060.nh.fits.fz
2015-03-09T20:55:27.159087,-2.1990752047e-13,6.63149396507e-12,-5.36574361332e-11,9.21276596677e-11,4.2943665117e-13,1.2532341831e-10,6.73383441022e-12,8.28812712905e-11,N2784-7/Q1/N2784-7.Q1.I.150309_2055.S.011270.092205N2208.0060.nh.fits.fz
2015-03-09T21:34:51.260140,3.90033125697e-14,6.88422496092e-12,9.51680834832e-12,9.56387052886e-11,-3.82392414174e-13,-8.13293737911e-11,6.9304861329e-12,-7.38017355562e-11,N2784-7/Q1/N2784-7.Q1.I.150309_2134.S.011285.092205N2208.0060.nh.fits.fz
2015-03-09T22:12:43.087083,-4.66557565151e-13,1.62302671303e-11,-1.13840048499e-10,2.25478066773e-10,-1.80680557321e-12,-2.58667864905e-10,1.59129220217e-11,-3.48713474763e-10,N2784-7/Q1/N2784-7.Q1.I.150309_2212.S.011300.092205N2208.0060.nh.fits.fz
2015-03-09T23:06:23.860085,-3.47148172838e-13,7.76894954618e-12,-8.47041534136e-11,1.07929692961e-10,2.4289804109e-13,1.13878920183e-10,7.28318533955e-12,4.68793233399e-11,N2784-7/Q1/N2784-7.Q1.I.150309_2306.S.011315.092205N2208.0060.nh.fits.fz
